name,RMA-traj,RMA-V,RMA-TR,RMA-L,RMA-T,load_mass,work,E-score
FB35-D50,0.0984290726953231,0.11951503267973856,0.09054086054117647,0.09478856205949525,0.09005927595411155,-0.19942196531791906,-0.22104865956333195,0.1305433469730137
FB35-D100,0.038962859228437785,0.1217986928104575,0.0876039,0.09126940599975221,0.09929890804723426,-0.15317919075144504,-0.1958954526366044,0.1125726299248473
FB35-D200,0.030417981961186984,0.12349607843137254,0.08383484310588234,0.10526514163296796,0.09620464397653464,-0.15317919075144504,-0.12146915202395875,0.10198100455476403
FB35-D400,0.10431925820607055,0.13221895424836602,0.08245510929411765,0.09780620901361475,0.13227397255553,-0.22254335260115607,-0.15885699108756418,0.1329248352866313
HD27-D50,0.02135554922763817,0.06039023297491039,0.13372297203225808,0.080630462606196,0.07612721554666167,-0.05185185185185189,0.14451308484284967,0.08122733844033797
HD27-D100,0.0213601243356781,0.05530421146953405,0.15528017812903225,0.07177338294082329,0.08918411380258753,0.01,0.1724440054465958,0.08182191764737978
HD27-D200,0.0322783392122853,0.06749955197132616,0.1444594413548387,0.11896736382199787,0.1570576880630336,-0.07037037037037051,0.04078550198781434,0.09020260811166664
HD27-D400,0.048559035108356366,0.05896146953405018,0.12536466341935484,0.11199778541349563,0.17976022198124478,0.01,-0.161791641700927,0.09912031779497658
RD21-D50,0.012528074647773047,0.04260069444444444,0.08126807168333333,0.07797139354731174,0.0908074627741182,-0.2571428571428572,-0.24617034486958836,0.11549841415848949
RD21-D100,0.024386760790202213,0.04635902777777778,0.08766865703333333,0.10239618462443606,0.1303768297658559,-0.31428571428571433,-0.24802531806674477,0.13621407033486632
RD21-D200,0.016434236157349975,0.04225717592592593,0.0709763076,0.10138110727829118,0.14969864882557612,-0.26666666666666666,-0.31447760463321395,0.1374131067267177
RD21-D400,0.08109005161147588,0.06290925925925926,0.12060800675000001,0.15993641384988647,0.19822033921430907,-0.30000000000000004,-0.6064709050298827,0.21846213938783046
